wagnum,ts_id,target
0,1,36151.61
1,2,36623.883
4,1,36510.363
7,1,36264.016
13,5,26758.873
23,1,17293.89
30,1,11597.778
33,2,18151.855
34,1,35936.098
40,1,46909.438
43,1,22690.967
49,2,19641.275
52,1,20540.186
61,1,43350.477
69,3,28352.488
70,2,53503.258
71,4,8580.33
75,5,33034.742
79,1,30674.016
82,2,73068.69
85,4,14545.522
95,2,37546.797
97,2,35956.95
102,2,45296.793
106,1,31173.787
107,1,49400.58
108,1,24704.445
109,1,46391.402
115,4,74201.02
117,3,22390.494
118,2,25626.936
120,6,34410.914
126,1,53203.45
132,1,19170.033
137,1,24665.484
142,1,39946.316
145,1,58940.793
148,1,111475.28
156,1,27311.658
163,3,50983.51
165,5,34843.316
171,4,28420.666
174,2,29867.59
178,3,30976.705
179,3,26097.275
184,2,29930.965
194,1,41496.09
196,2,35993.168
197,2,21701.176
198,2,35644.83
202,1,64411.555
208,1,53766.848
210,2,32406.027
214,1,27950.121
215,1,49157.08
217,1,29212.012
229,2,24444.205
231,1,22773.299
237,3,31202.617
239,1,19548.79
240,2,18328.652
246,2,26049.4
249,2,43002.164
250,2,16657.969
259,1,11920.476
260,3,37782.17
261,1,14113.621
262,1,12746.534
264,1,31302.629
266,1,15511.513
271,2,26674.805
272,1,6948.398
275,1,44986.7
276,2,5077.5566
277,1,13307.756
278,2,15344.031
281,1,27730.965
287,1,18327.607
302,2,13662.368
306,1,17435.342
307,2,35111.992
309,1,18337.469
310,2,21332.184
311,1,13435.056
312,1,31205.875
314,1,19175.805
315,2,17506.947
320,1,21976.977
321,2,17915.96
322,1,18755.531
324,3,19737.701
328,3,27671.861
339,1,31149.045
340,2,16384.42
341,1,38592.055
342,1,6861.4395
349,2,47570.42
352,3,25848.951
367,2,35439.2
372,3,36968.38
374,4,54261.473
375,2,48450.848
376,3,54922.57
383,3,39182.785
394,4,34758.773
397,3,28968.977
401,5,34008.113
407,4,16466.951
414,3,23809.012
416,4,33088.25
417,3,41843.62
426,3,16618.156
427,3,33897.332
428,3,27477.33
429,4,27526.045
435,4,21747.781
436,3,32832.03
439,4,25114.666
442,3,45849.81
445,3,33903.004
452,2,15367.646
455,3,27590.166
463,2,24165.078
467,3,20148.098
468,2,19939.03
469,2,42206.78
472,5,18317.094
473,2,36480.57
474,2,66488.05
477,3,14895.126
477,4,28670.457
479,2,22787.596
488,2,26203.717
495,2,44579.137
496,2,43536.656
498,2,28317.22
502,3,43060.15
506,3,19805.148
509,2,24067.89
513,2,23553.377
514,2,47167.37
518,4,24198.38
520,3,36220.926
528,2,36495.81
532,2,25550.178
534,3,55264.457
538,2,13682.225
545,5,56764.555
549,3,42626.227
558,3,54353.645
560,2,25967.77
566,1,18762.42
570,3,57122.684
573,3,20373.086
574,4,49469.406
575,3,27606.465
577,4,21799.398
581,4,30323.174
582,2,69847.78
592,2,36349.234
593,4,29937.918
600,7,27436.54
601,1,17765.463
604,1,56543.133
606,3,47286.312
607,3,60894.117
608,3,25083.572
609,2,57122.684
611,4,22378.848
613,3,9350.033
621,2,22571.424
626,6,20793.295
627,4,31610.701
628,3,42818.81
629,4,21629.436
631,5,60085.906
635,1,43924.992
636,2,42987.79
648,2,31763.14
650,4,60937.2
654,3,13416.452
655,5,25502.46
659,2,32653.44
667,3,17426.418
671,2,23017.139
676,3,16652.11
676,5,48746.984
677,5,29882.645
690,2,55513.598
691,3,31121.629
695,3,50552.83
699,3,28843.027
700,2,52391.305
703,4,14845.892
705,3,23831.037
706,1,21031.469
710,3,30707.791
713,2,80799.56
718,3,31903.717
720,2,24167.143
722,1,56778.965
728,2,59145.766
732,2,40966.094
736,4,23332.23
740,2,35055.6
743,3,66365.91
744,2,22823.299
754,2,13784.638
756,5,42446.73
762,2,31586.488
764,3,21119.225
773,4,22743.662
778,3,34993.777
789,3,41492.56
793,5,60282.11
795,5,48327.64
801,3,26332.537
804,4,24721.533
805,1,13103.145
809,5,32050.473
812,4,38806.23
814,6,68760.16
815,5,42044.68
818,4,24334.375
822,1,15002.212
834,5,16635.783
835,3,77279.734
840,2,46673.727
844,4,39615.734
845,2,52473.496
851,5,39891.176
857,5,41898.04
859,3,38707.164
863,4,72109.06
865,3,54569.125
871,4,19930.547
878,3,23277.928
879,2,25928.117
886,5,47238.72
886,6,34019.363
887,5,7230.52
895,4,18235.596
898,5,17569.803
899,3,22691.596
901,3,20593.043
902,5,37152.707
908,3,76091.77
910,4,28936.988
911,2,16610.504
912,3,19871.62
916,4,22032.61
918,4,101750.805
919,5,14508.717
921,5,57173.42
925,3,57600.688
926,3,19652.826
936,5,30257.564
938,1,33798.574
942,5,28682.79
944,4,34667.074
945,4,46610.355
949,2,92976.414
950,3,34425.055
952,4,56549.047
959,2,42280.523
964,5,26918.46
971,3,37555.47
982,4,24308.771
983,3,25477.043
985,3,55405.832
988,3,33700.63
992,3,22303.99
993,5,45849.81
997,3,38509.8
1001,4,10646.97
1003,5,14872.756
1005,3,15857.172
1006,3,38765.152
1010,2,33812.26
1011,2,15024.517
1015,3,57526.484
1019,5,23212.963
1026,5,38097.016
1030,5,44277.6
1035,4,43931.973
1036,2,14543.905
1044,3,25600.21
1047,6,19556.56
1049,6,21041.77
1054,3,37214.57
1063,4,13688.777
1064,3,37189.492
1065,5,18892.354
1066,2,10436.101
1070,2,32453.623
1071,4,37800.145
1078,4,22744.443
1081,4,41090.895
1088,5,28488.637
1090,3,39698.5
1094,5,53727.66
1095,4,20769.307
1098,2,16157.798
1102,2,49996.797
1102,3,14414.74
1112,1,12354.651
1116,4,25182.648
1119,1,37011.0
1128,2,25235.201
1129,2,16641.225
1133,2,19009.496
1135,3,25118.6
1136,4,19727.562
1137,5,66187.95
1142,2,21529.514
1143,4,29001.25
1144,4,47434.375
1148,4,15240.338
1151,2,27533.96
1158,3,39447.832
1167,2,12845.256
1172,3,55298.53
1180,3,22982.6
1184,3,53379.887
1191,6,24773.959
1194,3,30486.701
1197,4,28475.64
1199,5,22966.04
1204,2,50384.547
1211,3,29904.502
1221,2,35025.363
1226,4,23561.205
1227,4,88176.14
1229,6,24259.316
1233,3,17107.566
1236,6,22371.828
1239,2,28064.717
1240,8,14357.408
1242,5,36638.258
1246,5,37654.523
1247,2,13083.508
1249,1,26648.37
1254,2,24048.924
1256,2,28553.58
1262,2,47077.88
1269,5,31041.59
1270,3,39638.58
1274,4,37948.535
1282,2,9297.156
1283,5,21000.268
1285,3,37067.3
1288,4,43210.12
1289,2,11684.906
1296,5,30664.146
1297,4,38791.473
1298,3,10316.685
1300,2,32448.09
1307,6,38589.484
1326,4,31862.82
1332,2,47679.29
1336,4,15068.619
1337,3,37551.97
1339,3,42891.52
1341,2,30843.404
1344,4,15075.784
1345,5,25098.611
1346,4,26392.537
1347,3,25243.408
1351,3,25213.27
1359,4,42339.934
1360,2,23176.584
1361,4,67093.76
1362,5,16413.049
1364,2,22023.053
1366,3,36556.082
1370,3,65560.766
1371,2,30068.494
1374,5,14186.116
1375,6,21462.854
1378,2,67760.04
1381,3,20044.496
1382,3,40556.887
1389,4,25484.355
1390,5,18076.625
1392,4,52157.953
1394,5,37876.23
1396,4,34389.973
1399,4,72617.52
1401,2,43421.71
1404,4,46641.07
1405,3,34461.203
1411,4,50331.4
1412,6,21542.412
1413,4,49846.41
1415,4,35619.914
1418,3,49190.836
1422,3,24543.799
1426,2,30407.225
1428,3,41709.96
1431,3,13944.399
1432,4,26893.096
1435,3,62302.684
1437,3,27995.262
1438,5,31921.182
1439,3,49746.203
1444,3,17122.295
1445,3,47082.906
1447,2,22783.68
1450,3,57906.51
1457,4,57415.383
1458,4,30561.814
1462,3,18559.518
1466,2,31880.469
1480,3,46106.766
1482,3,22233.537
1494,3,26272.256
1498,3,50073.586
1499,3,55348.61
1500,5,22428.312
1502,2,93071.66
1503,2,59426.164
1507,2,17987.428
1508,3,70575.63
1509,2,60844.2
1511,4,7003.22
1515,4,34151.023
1520,5,26106.346
1521,4,55042.55
1529,2,40230.8
1533,3,32918.355
1535,2,15788.11
1539,2,51932.953
1544,5,18500.838
1548,3,76544.875
1553,3,18770.262
1558,4,53846.207
1561,4,56372.086
1568,4,16074.521
1576,3,20683.898
1577,3,77903.766
1583,3,32881.094
1585,5,64223.277
1588,3,27763.408
1591,4,32332.678
1600,3,42525.895
1605,5,51973.797
1606,4,58427.023
1612,6,74679.695
1614,4,30586.566
1615,5,19360.604
1617,2,25169.361
1619,5,22808.77
1624,4,24772.295
1625,3,30505.287
1626,4,49833.113
1628,3,109334.58
1631,6,20605.912
1640,7,19716.643
1641,5,32647.068
1643,4,34315.203
1647,3,23357.979
1648,6,18386.95
1651,4,26258.371
1654,5,30693.695
1661,5,26607.629
1663,4,32349.041
1667,5,20279.682
1673,4,95414.766
1674,3,27971.7
1678,4,70758.31
1683,6,17095.777
1690,4,25418.31
1700,3,65441.27
1703,4,24725.162
1705,4,23031.086
1713,3,39820.23
1726,4,48808.555
1728,5,48709.305
1730,4,70692.05
1732,5,34841.133
1734,2,18505.75
1735,2,23261.842
1737,4,32187.105
1741,3,68549.125
1742,2,29115.686
1748,3,41123.49
1749,5,75177.984
1753,6,33364.633
1756,5,42639.22
1760,2,14337.62
1763,5,34799.69
1767,4,41913.45
1770,3,39384.55
1778,2,68817.5
1780,2,27386.56
1787,3,37946.727
1791,5,25942.242
1797,4,62633.605
1804,5,66060.89
1805,9,25936.627
1807,2,20913.338
1812,2,58830.312
1817,4,24271.56
1819,1,12433.56
1823,6,58931.426
1829,7,11417.072
1830,5,36254.836
1836,2,58813.23
1837,2,60706.508
1840,3,29901.305
1841,8,4343.767
1844,4,36645.223
1845,4,59991.773
1851,2,43076.586
1852,7,66416.945
1857,3,60990.87
1869,6,28996.238
1898,7,22102.592
1901,2,23504.412
1907,4,23576.857
1911,1,15061.609
1914,5,27813.92
1920,4,28517.291
1924,3,66583.84
1929,2,21491.76
1930,5,45562.395
1931,5,17559.371
1932,2,24497.22
1938,2,44693.164
1939,6,31315.498
1942,4,18156.03
1945,3,70760.53
1946,5,50366.293
1947,3,17040.096
1958,2,14589.823
1960,3,61734.605
1967,4,54735.42
1972,2,24540.46
1979,5,49630.188
1981,4,26794.768
1990,2,34569.95
1992,5,23590.18
2006,4,69410.54
2007,4,76070.766
2009,3,26264.205
2010,3,12605.682
2016,4,23776.516
2022,3,36605.676
2023,3,62438.816
2026,4,54113.805
2030,6,33556.125
2044,4,21475.934
2045,2,31362.994
2046,2,20493.271
2050,4,27559.916
2051,3,20205.45
2052,4,25328.428
2061,3,80280.195
2067,2,8912.206
2068,2,17366.371
2070,2,15252.364
2072,1,16666.193
2074,3,22179.7
2075,3,55578.07
2077,3,37703.42
2078,1,22558.223
2081,2,68384.47
2082,4,70008.76
2087,5,37359.51
2089,3,48449.88
2094,4,34722.152
2095,4,20463.377
2100,1,28251.434
2106,2,37395.22
2106,3,35044.73
2107,3,56786.656
2109,4,33833.383
2112,1,17827.188
2114,1,41999.797
2115,6,19929.764
2127,2,19618.318
2133,4,35139.74
2135,2,8775.289
2142,2,61714.016
2146,3,23260.518
2148,5,21175.262
2149,4,57235.75
2150,2,26299.312
2153,2,45081.465
2155,3,30779.613
2156,2,12696.962
2161,5,13865.427
2163,2,58035.12
2170,4,54593.914
2171,7,31336.715
2174,3,53816.18
2175,4,56157.168
2179,2,26005.414
2180,2,71031.586
2181,4,38578.625
2183,2,22996.633
2186,4,55982.234
2188,3,17724.695
2189,2,17215.867
2189,3,41151.715
2191,2,35150.35
2193,2,37896.32
2196,3,20500.152
2198,4,18414.336
2201,2,64912.7
2202,3,29289.441
2204,2,14794.111
2205,3,25859.086
2206,2,17143.973
2209,2,27291.588
